"ImageId","Label"
1,"3"
2,"8"
3,"0"
4,"0"
5,"3"
6,"4"
7,"7"
8,"3"
9,"1"
10,"5"
11,"2"
12,"1"
13,"7"
14,"1"
15,"5"
16,"1"
17,"1"
18,"5"
19,"3"
20,"8"
21,"2"
22,"1"
23,"9"
24,"7"
25,"4"
26,"2"
27,"8"
28,"6"
29,"0"
30,"4"
31,"0"
32,"6"
33,"9"
34,"4"
35,"4"
36,"0"
37,"0"
38,"7"
39,"3"
40,"4"
41,"5"
42,"1"
43,"0"
44,"5"
45,"8"
46,"3"
47,"8"
48,"8"
49,"6"
50,"1"
51,"8"
52,"3"
53,"7"
54,"3"
55,"1"
56,"2"
57,"7"
58,"5"
59,"4"
60,"7"
61,"3"
62,"9"
63,"3"
64,"8"
65,"7"
66,"4"
67,"4"
68,"5"
69,"5"
70,"0"
71,"9"
72,"1"
73,"3"
74,"5"
75,"0"
76,"4"
77,"4"
78,"3"
79,"0"
80,"6"
81,"4"
82,"0"
83,"4"
84,"0"
85,"8"
86,"2"
87,"1"
88,"1"
89,"9"
90,"8"
91,"5"
92,"2"
93,"9"
94,"3"
95,"6"
96,"7"
97,"8"
98,"9"
99,"9"
100,"5"
101,"8"
102,"0"
103,"4"
104,"3"
105,"2"
106,"7"
107,"3"
108,"5"
109,"2"
110,"3"
111,"6"
112,"6"
113,"1"
114,"5"
115,"4"
116,"2"
117,"1"
118,"4"
119,"6"
120,"9"
121,"5"
122,"7"
123,"2"
124,"1"
125,"0"
126,"3"
127,"6"
128,"0"
129,"7"
130,"9"
131,"1"
132,"5"
133,"3"
134,"9"
135,"8"
136,"2"
137,"5"
138,"0"
139,"9"
140,"3"
141,"5"
142,"6"
143,"6"
144,"7"
145,"1"
146,"9"
147,"8"
148,"9"
149,"7"
150,"4"
151,"0"
152,"4"
153,"4"
154,"1"
155,"6"
156,"9"
157,"4"
158,"7"
159,"1"
160,"0"
161,"7"
162,"7"
163,"7"
164,"2"
165,"6"
166,"1"
167,"1"
168,"6"
169,"7"
170,"5"
171,"8"
172,"3"
173,"4"
174,"6"
175,"5"
176,"9"
177,"9"
178,"0"
179,"2"
180,"1"
181,"1"
182,"9"
183,"8"
184,"7"
185,"7"
186,"2"
187,"8"
188,"7"
189,"4"
190,"1"
191,"0"
192,"1"
193,"8"
194,"3"
195,"8"
196,"2"
197,"5"
198,"7"
199,"1"
200,"4"
201,"3"
202,"2"
203,"4"
204,"9"
205,"5"
206,"5"
207,"7"
208,"9"
209,"9"
210,"7"
211,"1"
212,"9"
213,"7"
214,"3"
215,"0"
216,"9"
217,"3"
218,"4"
219,"7"
220,"2"
221,"7"
222,"6"
223,"2"
224,"8"
225,"1"
226,"5"
227,"9"
228,"0"
229,"2"
230,"8"
231,"1"
232,"8"
233,"0"
234,"2"
235,"9"
236,"4"
237,"8"
238,"8"
239,"1"
240,"6"
241,"8"
242,"4"
243,"8"
244,"4"
245,"0"
246,"1"
247,"3"
248,"4"
249,"1"
250,"1"
251,"3"
252,"6"
253,"8"
254,"5"
255,"1"
256,"8"
257,"5"
258,"9"
259,"3"
260,"6"
261,"1"
262,"2"
263,"0"
264,"4"
265,"0"
266,"1"
267,"3"
268,"5"
269,"2"
270,"6"
271,"8"
272,"8"
273,"6"
274,"9"
275,"3"
276,"8"
277,"0"
278,"7"
279,"7"
280,"8"
281,"9"
282,"8"
283,"9"
284,"6"
285,"5"
286,"9"
287,"8"
288,"6"
289,"0"
290,"7"
291,"2"
292,"7"
293,"9"
294,"7"
295,"0"
296,"5"
297,"9"
298,"8"
299,"6"
300,"7"
301,"0"
302,"2"
303,"8"
304,"4"
305,"4"
306,"8"
307,"4"
308,"6"
309,"0"
310,"5"
311,"2"
312,"8"
313,"4"
314,"1"
315,"2"
